champ1,champ2,winrate,n_games
Master Yi,Nunu,0.49303732,12567
Rengar,Kha'Zix,0.441314979,11042
Nunu,Graves,0.526345988,10457
Lee Sin,Graves,0.525817733,9722
Nunu,Lee Sin,0.46934392799999997,9313
Master Yi,Graves,0.525981026,9276
Master Yi,Lee Sin,0.47171683799999997,9069
Master Yi,Jax,0.5090198779999999,8703
Nunu,Rengar,0.46833207200000004,7926
Nunu,Jax,0.520602876,7232
Master Yi,Amumu,0.5525711,6962
Jax,Graves,0.566274155,6624
Master Yi,Rengar,0.47569391200000005,6521
Nunu,Kayn,0.48153277899999997,6498
Jax,Lee Sin,0.525413255,6473
Lee Sin,Rengar,0.48720731899999997,6449
Master Yi,Kayn,0.47743696799999996,6227
Graves,Rengar,0.52824951,6124
Amumu,Graves,0.599105812,6039
Lee Sin,Kayn,0.486585569,6001
Graves,Kayn,0.533917225,5823
Malphite,Yasuo,0.554875918,5722
Master Yi,Warwick,0.43473347100000004,5309
Nunu,Amumu,0.51780303,5280
Nunu,Kha'Zix,0.467227212,5233
Ryze,Nunu,0.419655522,4935
Nunu,Kindred,0.483008703,4826
Amumu,Lee Sin,0.550773088,4786
Master Yi,Wukong,0.502488639,4621
Nunu,Yasuo,0.49810394799999996,4483
Nunu,Wukong,0.48850703,4481
Lee Sin,Kha'Zix,0.487366265,4393
Lee Sin,Yasuo,0.51063338,4326
Nunu,Pyke,0.43595137899999997,4278
Master Yi,Kha'Zix,0.45465309,4223
Jax,Rengar,0.51268073,4219
Warwick,Nunu,0.456506111,4173
Jax,Kayn,0.526126558,4172
Xin Zhao,Master Yi,0.46469740600000004,4164
Wukong,Lee Sin,0.509196515,4132
Graves,Kha'Zix,0.525158769,4094
Warwick,Graves,0.509420113,4087
Gragas,Graves,0.573326772,4064
Rengar,Kayn,0.477425792,4009
Master Yi,Kindred,0.44794871799999997,3900
Master Yi,Pyke,0.454194545,3886
Lee Sin,Gragas,0.514219235,3868
Jax,Amumu,0.568246568,3861
Nunu,Kai'Sa,0.527900337,3853
Lee Sin,Kindred,0.489737594,3849
Wukong,Graves,0.559102902,3790
Master Yi,Cho'Gath,0.504434292,3721
Graves,Pyke,0.506957708,3665
Nunu,Vi,0.46202185799999995,3660
Warwick,Lee Sin,0.475512996,3655
Master Yi,Gragas,0.5146328,3622
Graves,Kindred,0.509167842,3545
Wukong,Yasuo,0.5335598979999999,3531
Lee Sin,Pyke,0.456045519,3515
Amumu,Kayn,0.5380200860000001,3485
Master Yi,Yasuo,0.485475985,3477
Xin Zhao,Graves,0.517643628,3429
Amumu,Rengar,0.554842474,3428
Fiddlesticks,Master Yi,0.50219106,3423
Xin Zhao,Lee Sin,0.48192056899999997,3374
Master Yi,Udyr,0.46411483299999995,3344
Master Yi,Malphite,0.521882494,3336
Nunu,Hecarim,0.454819277,3320
Xin Zhao,Nunu,0.469683258,3315
Master Yi,Evelynn,0.446007954,3269
Master Yi,Teemo,0.476278497,3246
Master Yi,Garen,0.5106514360000001,3239
Nunu,Gragas,0.48248062,3225
Master Yi,Dr. Mundo,0.5107309489999999,3215
Nunu,Jarvan IV,0.480361596,3208
Evelynn,Graves,0.510204082,3185
Jarvan IV,Lee Sin,0.517913262,3182
Master Yi,Vi,0.470251352,3143
Nunu,Cho'Gath,0.504622251,3137
Fiddlesticks,Graves,0.543859649,3135
Cho'Gath,Graves,0.548792271,3105
Sion,Nunu,0.520325203,3075
Maokai,Graves,0.583116037,3068
Nunu,Evelynn,0.468668407,3064
Master Yi,Maokai,0.544798162,3047
Master Yi,Shaco,0.45720869,3038
Malphite,Graves,0.54008578,3031
Warwick,Rengar,0.46804261,3004
Lee Sin,Vi,0.480519481,3003
Evelynn,Lee Sin,0.45850066899999997,2988
Nunu,Udyr,0.476206434,2984
Nunu,Garen,0.501007388,2978
Master Yi,Hecarim,0.472886494,2969
Nunu,Malphite,0.47922999,2961
Master Yi,Poppy,0.534693878,2940
