champ,winrate
Master Yi,0.49234612310790166
Rengar,0.48755340652528323
Nunu,0.4813772580306783
Lee Sin,0.49454361292552174
Jax,0.5309313520916507
Graves,0.5351105568706956
Amumu,0.5530020444952866
Malphite,0.5217618749005414
Ryze,0.4693620844840972
Warwick,0.46915646867920263
Xin Zhao,0.47827864280261856
Wukong,0.5096788470072448
Gragas,0.5174557210396298
Fiddlesticks,0.5024189980979485
Evelynn,0.46603829835765914
Jarvan IV,0.5203959371143155
Cho'Gath,0.5134551089114001
Sion,0.5464954892245619
Maokai,0.5502341768229205
Poppy,0.5333284208933022
Dr. Mundo,0.5432045346442529
Teemo,0.4724997387073757
Shaco,0.4623816568012721
Udyr,0.493658766539233
Kha'Zix,0.4831861506723513
Akali,0.39774147269707366
Garen,0.5106287572260836
Kayn,0.4985789403744683
Nocturne,0.46126169762373975
Nidalee,0.47980493405088936
Rakan,0.5065204697936159
Rammus,0.4936449806623224
Trundle,0.49779207812675036
Kayle,0.5540855700583893
Shyvana,0.4770916334955183
Pantheon,0.48535344331975144
Brand,0.5872933211867596
Riven,0.517079540505592
Tryndamere,0.5059551430702436
Twitch,0.5008959390607348
Hecarim,0.47433323780800857
Kindred,0.4866850129764461
Diana,0.5239891857005486
Yasuo,0.5139779109699149
Olaf,0.4758468759670828
Galio,0.5087294378291114
Irelia,0.47417267407047153
Zac,0.485367153268848
Alistar,0.5371504295107385
Karthus,0.5808189337349797
Volibear,0.5173877413304407
Skarner,0.4946028898607442
Vi,0.4883956152032882
Elise,0.49389505080939505
Kai'Sa,0.5158172375516946
Blitzcrank,0.4584261616879774
Lux,0.5180966168715332
Nasus,0.47075940382952464
Morgana,0.530192074286061
Talon,0.4633396865183011
Urgot,0.5113450531861202
Mordekaiser,0.5013581190230032
Aatrox,0.4846201064336377
Sejuani,0.4743091775868663
Rumble,0.5316669631807509
Singed,0.5280183180806828
Darius,0.4987151248129131
Nautilus,0.5197062790391425
Ezreal,0.48554514864128473
Ekko,0.5185248094252528
Tristana,0.493274416818442
Miss Fortune,0.5010017767411256
Renekton,0.4947948295419887
Shen,0.48179504491949293
Heimerdinger,0.4888929911836194
Fizz,0.49410338363257295
Vayne,0.5213922594461022
Leona,0.51742954354696
Veigar,0.49667621780441246
Zilean,0.5077372004350518
Camille,0.4751340206505017
Thresh,0.4870324662732865
Taric,0.5378268774047685
Taliyah,0.5271262310002387
Twisted Fate,0.488251654343052
Sona,0.5275563258617849
Zed,0.47842381774816123
Karma,0.5001942124936881
Orianna,0.5334380424849137
Quinn,0.4607518648139111
Annie,0.4860483070801808
Swain,0.5021478039377577
Gangplank,0.47527286420669945
Malzahar,0.5149121249736376
Jhin,0.5015830299705559
Ahri,0.4988662131697961
Ashe,0.4630688494315033
Katarina,0.4511313937721052
Sivir,0.4863058363104011
Braum,0.4877920437576297
Lucian,0.5071348749672482
LeBlanc,0.4666666666900694
Janna,0.5127870989027528
Soraka,0.49131378936549963
Jinx,0.511073718670017
Kog'Maw,0.5599246123594619
Illaoi,0.49749081690568603
Ornn,0.4956327819767703
Lulu,0.4922586858025779
Kassadin,0.4918152055098825
Caitlyn,0.46779061299927127
Ziggs,0.5092116917407441
Bard,0.4718278115862067
Tahm Kench,0.4788273615495765
Kennen,0.4884428223156933
Zyra,0.5345612992879116
Anivia,0.5281359905904165
Yorick,0.4951071145255222
Ivern,0.44974051497465606
Kled,0.5062758839988531
Zoe,0.4488254400240954
Draven,0.46721393533256594
Vladimir,0.47935400987538995
Fiora,0.4791914387529727
Gnar,0.45783872284742133
Varus,0.4761361041879425
Rek'Sai,0.46604394764336593
Cassiopeia,0.5344267896931489
Aurelion Sol,0.4858826754461351
Jayce,0.4983986203096824
Xerath,0.49511465601615173
Xayah,0.5032802249837267
Kalista,0.4935111322697941
Syndra,0.49348743348945173
Vel'Koz,0.5167937909740401
Azir,0.45830014799499363
Lissandra,0.48113646956753614
Corki,0.47250970255756775
Nami,0.5242832066239028
Viktor,0.5096655415575334
