"","champ1","champ2","winrate","n_games"
"8796","Aatrox","Ahri",0.496062992,127
"1434","Aatrox","Akali",0.402761795,869
"5744","Aatrox","Alistar",0.49787234,235
"872","Aatrox","Amumu",0.543249798,1237
"11856","Aatrox","Anivia",0.540540541,74
"9454","Aatrox","Annie",0.49122807,114
"8618","Aatrox","Ashe",0.465648855,131
"9648","Aatrox","Aurelion Sol",0.481818182,110
"5607","Aatrox","Azir",0.542168675,83
"3229","Aatrox","Bard",0.47029703,202
"5848","Aatrox","Blitzcrank",0.524017467,229
"2858","Aatrox","Brand",0.605210421,499
"11516","Aatrox","Braum",0.53164557,79
"11330","Aatrox","Caitlyn",0.414634146,82
"3566","Aatrox","Camille",0.459183673,392
"13784","Aatrox","Cassiopeia",0.411764706,51
"1584","Aatrox","Cho'Gath",0.50245098,816
"16340","Aatrox","Corki",0.482758621,29
"3018","Aatrox","Darius",0.518046709,471
"2586","Aatrox","Diana",0.505415162,554
"2126","Aatrox","Dr. Mundo",0.500770416,649
"10584","Aatrox","Draven",0.457446809,94
"2618","Aatrox","Ekko",0.500914077,547
"5670","Aatrox","Elise",0.476987448,239
"1730","Aatrox","Evelynn",0.430989583,768
"4744","Aatrox","Ezreal",0.487972509,291
"1650","Aatrox","Fiddlesticks",0.488693467,796
"9636","Aatrox","Fiora",0.445454545,110
"4684","Aatrox","Fizz",0.516891892,296
"4528","Aatrox","Galio",0.446601942,309
"8568","Aatrox","Gangplank",0.556390977,133
"1928","Aatrox","Garen",0.46875,704
"11266","Aatrox","Gnar",0.506024096,83
"1546","Aatrox","Gragas",0.520383693,834
"342","Aatrox","Graves",0.534085779,2215
"2480","Aatrox","Hecarim",0.469565217,575
"6894","Aatrox","Heimerdinger",0.407608696,184
"3399","Aatrox","Illaoi",0.457446809,188
"3466","Aatrox","Irelia",0.448019802,404
"3215","Aatrox","Ivern",0.477832512,203
"11090","Aatrox","Janna",0.588235294,85
"1832","Aatrox","Jarvan IV",0.523224044,732
"650","Aatrox","Jax",0.503952569,1518
"11884","Aatrox","Jayce",0.5,74
"5400","Aatrox","Jhin",0.496031746,252
